Brand, Product Name, Product Price
ASUS,ASUS ZenBook 13  8th-Gen Intel Whiskey Lake Core i5-8265U Processor| 8 GB LPDDR3| 256 GB PCIe SSD| Backlit KB| NumberPad| Military-Grade| Windows 10 - UX333FA-DH51| Ultra-Slim Laptop  FHD WideView| 13,Rp12.142.715
ASUS,ASUS ZenBook 15 Intel Whiskey Lake Core i7-8565U| 16 GB DDR4| 512 GB PCIe SSD| GTX 1050 Max-Q| IR Camera| Ultra-Slim Compact15.6" FHD 4-Way NanoEdge| Windows 10 Laptop - UX533FD-DH74,
ASUS,ASUS VivoBook Intel Core i7-8550U 512GB SSD 8GB DDR4 RAM| NVIDIA GeForce MX150 graphics 15.6 NanoEdge Full HD FP S510UN-NH77 ONLY @ NEWEGG Thin and Portable Laptop|,Rp11.857.000
Lenovo,Lenovo 100e Chromebook 81ER000BUS 11.6" LCD Chromebook - Intel Celeron N3350 Dual-core (2 Core) 1.10 GHz - 4 GB LPDDR4 - 16 GB Flash Memory - Chrome OS - 1366 x 768 - Twisted nematic (TN) - Black,Rp3.216.318
MSI,MSI Laptop PS42 8M-064 Intel Core i5 8th Gen 8250U (1.60 GHz) 8 GB Memory 256 GB M.2 SATA SSD Intel UHD Graphics 620 14.0" Windows 10 Pro 64-Bit,Rp12.995.963
MSI,MSI Laptop PS42 8RB-060 Intel Core i5 8th Gen 8250U (1.60 GHz) 8 GB Memory 512 GB M.2 SATA SSD NVIDIA GeForce MX150 14.0" Windows 10 Pro 64-Bit,Rp14.985.715
MSI,MSI Laptop PS42 8RB-059 Intel Core i7 8th Gen 8550U (1.80 GHz) 16 GB Memory 512 GB M.2 SATA SSD NVIDIA GeForce MX150 14.0" Windows 10 Pro 64-Bit,Rp17.842.858
Lenovo,Lenovo Laptop ThinkPad E485 (20KU0018US) AMD Ryzen 3 2200U (2.50 GHz) 4 GB Memory 500 GB HDD AMD Radeon Vega 3 14.0" Windows 10 Pro 64-Bit,Rp6.944.008
ASUS,ASUS VivoBook Intel Core i5-8250U| 4 GB DDR4 + 16 GB Intel Optane| 1 TB Optane Enhanced| MX150 Graphics| 15.6" NanoEdge Full HD| FP| S510UN-DB55 Thin and Portable Laptop|,Rp8.285.573
Lenovo,Lenovo V330-14ARR  AMD Ryzen 5 2500U (2.00 GHz) 8 GB Memory 256 GB SSD AMD Radeon Vega 8 14.0" Windows 10 Pro 64-Bit Laptop 81B1001GUS,Rp7.557.144
Lenovo,Lenovo Laptop IdeaPad 330 81D2005CUS AMD Ryzen 5 2500U (2.00 GHz) 8 GB Memory 256 GB SSD AMD Radeon Vega 8 15.6" Windows 10 Home 64-Bit,Rp6.571.286
Lenovo,Lenovo Laptop IdeaPad 530s (81H1000RUS) AMD Ryzen 7 2700U (2.20 GHz) 16 GB Memory 512 GB PCIe SSD AMD Radeon RX Vega 10 14.0" Windows 10 Home 64-Bit,Rp14.972.493
Lenovo,Lenovo Laptop IdeaPad 530s (81H1000SUS) AMD Ryzen 5 2500U (2.00 GHz) 8 GB Memory 256 GB PCIe SSD AMD Radeon Vega 8 14.0" Windows 10 Home 64-Bit,Rp10.648.858
ASUS,ASUS Laptop  AMD A12-Series A12-9700P (2.50 GHz) 8 GB Memory 1 TB SSHD (8 GB Cache) AMD Radeon R7 Series 15.6" Windows 10 Home 64-Bit X555QA-DH12,Rp6.693.715
Acer America,Acer Laptop Aspire 5 A515-51G-84ZP Intel Core i7 8th Gen 8550U (1.80 GHz) 8 GB Memory 1 TB HDD 256 GB SSD NVIDIA GeForce MX150 15.6" Windows 10 Home,Rp11.714.143
Lenovo,Lenovo Laptop ThinkPad E480 (20KN003XUS) Intel Core i5 8th Gen 8250U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 14.0" Windows 10 Pro 64-Bit,Rp12.127.001
Acer America,Acer Laptop Aspire 5 Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 1 TB HDD NVIDIA GeForce MX150 15.6" FHD 1920 x 1080 Windows 10 Home 64-Bit Obsidian Black A515-51G-58GZ,Rp6.428.429
ASUS,ASUS Laptop S530UA-DB51-RD Intel Core i5 8th Gen 8250U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 15.6" Windows 10 Home 64-Bit,Rp10.198.598
ASUS,ASUS Laptop S530UA-DB51 Intel Core i5 8th Gen 8250U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 15.6" Windows 10 Home 64-Bit Gunmetal Gray,Rp9.912.573
Acer America,Acer Laptop Aspire 5  Intel Core i7 8th Gen 8550U (1.80 GHz) 8 GB Memory 256 GB SSD NVIDIA GeForce MX150 15.6" Windows 10 Home 64-Bit A515-51G-89LS,Rp11.428.429
ASUS,ASUS Laptop VivoBook F505ZA-DB31 AMD Ryzen 3 2200U (2.50 GHz) 6 GB Memory 1 TB SSHD AMD Radeon Vega 3 15.6" Windows 10 Home 64-Bit,Rp6.928.430
ASUS,ASUS VivoBook E203MA-YS03 Ultra-Thin Laptop| Intel Celeron N4000 Processor (up to 2.6 GHz)| 4 GB LPDDR4| 64 GB eMMC| 11.6" HD| USB-C| Windows 10 S Mode (Switchable to Pro),Rp3.285.572
ASUS,ASUS P-Series P2540NV-YH21 Business Standard Laptop| Intel Quad-Core Pentium N4200 Processor 1.10 GHz (up to 2.5 GHz)| 15.6" HD Display| 4 GB RAM| 500 GB 5400 RPM HDD| Windows 10 (64-Bit),Rp5.700.001
Lenovo,Lenovo Laptop IdeaPad 330s 81F5000EUS Intel Core i5 8th Gen 8250U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 15.6" Windows 10 Home 64-Bit,Rp9.343.573
Lenovo,Lenovo Laptop IdeaPad 330 81D20000US AMD Ryzen 7 2700U (2.20 GHz) 16 GB Memory 1 TB HDD AMD Radeon RX Vega 10 15.6" Windows 10 Home 64-Bit,Rp9.285.572
ASUS,ASUS VivoBook S Intel Core i5-8250U Processor| 8 GB DDR4 RAM| 256 GB SSD| NVIDIA GeForce MX150 15.6" FHD WideView Display| ASUS NanoEdge Bezel| Metal Cover| FingerPrint Ultra Thin and Portable Laptop,Rp10.650.715
